Temps,Deformation
0.000001,5.00000005
1.000001,5.049380225
2.000001,5.097541199
3.000001,5.144513074
4.000001,5.190325209
5.000001,5.235006239
6.000001,5.27858409
7.000001,5.321086
8.000001,5.362538535
9.000001,5.402967602
10.000001,5.442398473
11.000001,5.480855792
12.000001,5.518363596
13.000001,5.554945329
14.000001,5.590623856
15.000001,5.625421477
16.000001,5.659359941
17.000001,5.692460462
18.000001,5.724743729
19.000001,5.756229918
20.000001,5.786938711
21.000001,5.816889301
22.000001,5.846100408
23.000001,5.874590291
24.000001,5.902376755
25.000001,5.92947717
26.000001,5.955908473
27.000001,5.981687184
28.000001,6.006829417
29.000001,6.031350886
30.000001,6.055266918
31.000001,6.078592461
32.000001,6.101342094
33.000001,6.123530037
34.000001,6.145170157
35.000001,6.166275981
36.000001,6.186860701
37.000001,6.206937182
38.000001,6.226517972
39.000001,6.245615312
40.000001,6.264241136
41.000001,6.282407087
42.000001,6.300124519
43.000001,6.317404506
44.000001,6.334257849
45.000001,6.350695082
46.000001,6.366726477
47.000001,6.382362056
48.000001,6.397611591
49.000001,6.412484614
50.000001,6.426990421
51.000001,6.441138078
52.000001,6.454936428
53.000001,6.468394095
54.000001,6.481519492
55.000001,6.494320821
56.000001,6.506806084
57.000001,6.518983086
58.000001,6.530859436
59.000001,6.542442557
60.000001,6.553739691
61.000001,6.564757897
62.000001,6.575504063
63.000001,6.585984905
64.000001,6.596206974
65.000001,6.606176659
66.000001,6.615900192
67.000001,6.62538365
68.000001,6.634632961
69.000001,6.643653905
70.000001,6.652452122
71.000001,6.661033109
72.000001,6.669402232
73.000001,6.67756472
74.000001,6.685525675
75.000001,6.693290074
76.000001,6.700862769
77.000001,6.708248494
78.000001,6.715451864
79.000001,6.722477382
80.000001,6.72932944
81.000001,6.73601232
82.000001,6.742530199
83.000001,6.748887151
84.000001,6.75508715
85.000001,6.761134069
86.000001,6.76703169
87.000001,6.772783698
88.000001,6.778393689
89.000001,6.783865168
90.000001,6.789201556
91.000001,6.794406188
92.000001,6.799482318
93.000001,6.804433117
94.000001,6.80926168
95.000001,6.813971026
96.000001,6.818564098
97.000001,6.823043766
98.000001,6.827412831
99.000001,6.831674024
100.000001,1.835829957
101.000001,1.790503154
102.000001,1.746295473
103.000001,1.703179284
104.000001,1.661127638
105.000001,1.620114251
106.000001,1.580113487
107.000001,1.541100346
108.000001,1.503050443
109.000001,1.465939995
110.000001,1.429745808
111.000001,1.394445258
112.000001,1.360016282
113.000001,1.32643736
114.000001,1.293687505
115.000001,1.261746247
116.000001,1.230593621
117.000001,1.200210156
118.000001,1.170576862
119.000001,1.141675216
120.000001,1.113487155
121.000001,1.085995059
122.000001,1.059181745
123.000001,1.033030455
124.000001,1.007524842
125.000001,0.9826489652
126.000001,0.9583872758
127.000001,0.9347246097
128.000001,0.9116461768
129.000001,0.8891375525
130.000001,0.8671846681
131.000001,0.8457738024
132.000001,0.8248915728
133.000001,0.8045249273
134.000001,0.7846611361
135.000001,0.7652877836
136.000001,0.7463927609
137.000001,0.727964258
138.000001,0.7099907564
139.000001,0.6924610222
140.000001,0.6753640986
141.000001,0.6586892996
142.000001,0.6424262029
143.000001,0.6265646434
144.000001,0.6110947072
145.000001,0.5960067251
146.000001,0.5812912667
147.000001,0.5669391342
148.000001,0.5529413571
149.000001,0.5392891863
150.000001,0.5259740889
151.000001,0.5129877423
152.000001,0.5003220298
153.000001,0.4879690349
154.000001,0.4759210365
155.000001,0.4641705043
156.000001,0.4527100937
157.000001,0.4415326416
158.000001,0.4306311619
159.000001,0.4199988406
160.000001,0.4096290323
161.000001,0.3995152554
162.000001,0.3896511886
163.000001,0.3800306665
164.000001,0.3706476759
165.000001,0.3614963522
166.000001,0.3525709755
167.000001,0.3438659671
168.000001,0.3353758861
169.000001,0.3270954259
170.000001,0.3190194111
171.000001,0.3111427938
172.000001,0.3034606508
173.000001,0.2959681807
174.000001,0.2886607002
175.000001,0.2815336422
176.000001,0.2745825518
177.000001,0.2678030844
178.000001,0.2611910027
179.000001,0.2547421739
180.000001,0.2484525672
181.000001,0.2423182514
182.000001,0.2363353925
183.000001,0.2305002509
184.000001,0.2248091794
185.000001,0.219258621
186.000001,0.2138451063
187.000001,0.2085652519
188.000001,0.2034157574
189.000001,0.1983934045
190.000001,0.1934950539
191.000001,0.188717644
192.000001,0.1840581887
193.000001,0.1795137759
194.000001,0.175081565
195.000001,0.1707587857
196.000001,0.1665427363
197.000001,0.1624307815
198.000001,0.1584203512
199.000001,0.1545089388
200.000001,0.1506940995
