temps,eps1,eps2,eps3,eps4,eps5,eps6
67.2001,3.445106194,-1.192560637,-1.192560637,0,0,0
67.73343333,3.413450694,-1.182820608,-1.182820608,0,0,0
68.26676667,3.382593103,-1.173224212,-1.173224212,0,0,0
68.8001,3.352470895,-1.163763299,-1.163763299,0,0,0
69.33343333,3.323027735,-1.154430499,-1.154430499,0,0,0
69.86676667,3.29421286,-1.145219136,-1.145219136,0,0,0
70.4001,3.265980506,-1.136123166,-1.136123166,0,0,0
70.93343333,3.238289411,-1.127137106,-1.127137106,0,0,0
71.46676667,3.211102355,-1.118255985,-1.118255985,0,0,0
72.0001,3.184385754,-1.109475285,-1.109475285,0,0,0
72.53343333,3.158109294,-1.100790902,-1.100790902,0,0,0
73.06676667,3.132245597,-1.092199099,-1.092199099,0,0,0
73.6001,3.106769928,-1.083696474,-1.083696474,0,0,0
74.13343333,3.081659928,-1.075279923,-1.075279923,0,0,0
74.66676667,3.056895372,-1.066946612,-1.066946612,0,0,0
75.2001,3.032457957,-1.058693949,-1.058693949,0,0,0
75.73343333,3.008331105,-1.05051956,-1.05051956,0,0,0
76.26676667,2.984499795,-1.042421267,-1.042421267,0,0,0
76.8001,2.960950397,-1.03439707,-1.03439707,0,0,0
77.33343333,2.937670543,-1.026445128,-1.026445128,0,0,0
77.86676667,2.91464899,-1.018563743,-1.018563743,0,0,0
78.4001,2.891875516,-1.010751346,-1.010751346,0,0,0
78.93343333,2.869340809,-1.003006486,-1.003006486,0,0,0
79.46676667,2.847036382,-0.9953278148,-0.9953278148,0,0,0
80.0001,2.82495449,-0.987714081,-0.987714081,0,0,0
