Temps,Contrainte,Epsilon 1,Epsilon 2
0.5,0.1943574422,0.0001152174,-0.0000407957
1,1.47109142,0.0004543058,-0.0001597173
1.5,2.780745853,0.000793233,-0.0002810369
2,4.077241851,0.0011405954,-0.0004041203
2.5,5.394762108,0.0014946779,-0.0005304621
3,6.685616109,0.0018517642,-0.0006564112
3.5,7.989528368,0.0022120918,-0.0007848731
4,9.276525398,0.0025736032,-0.0009124385
4.5,10.59593375,0.0029503753,-0.0010464451
5,11.90069671,0.003322859,-0.0011783789
5.5,12.96463431,0.0035738305,-0.0012685022
6,12.99706724,0.0035984648,-0.0012792662
6.633171055,12.98618174,0.003626874991,-0.001290851994
7.333159708,12.98763501,0.003650917491,-0.001300805572
8.107017119,12.97698477,0.003672572484,-0.001310069466
8.96253855,12.99364748,0.003694635462,-0.001318951143
9.908341882,12.98750673,0.0037125713,-0.001326567716
10.95395443,12.99510863,0.003731827051,-0.001334276557
12.10990891,12.99187341,0.003748714543,-0.001341337139
13.38784954,12.99444476,0.003764646874,-0.001348227996
14.80064935,12.98093478,0.003776624636,-0.001353485587
16.36253981,12.98795523,0.00379333881,-0.001361119791
18.08925424,12.97543012,0.003805062889,-0.001366661571
19.99818627,12.97652495,0.003819925195,-0.001372069539
22.10856506,12.99559612,0.00383633095,-0.001378563517
24.44164897,12.98522629,0.003847779229,-0.001383077007
27.02093975,12.98781503,0.003859987988,-0.001388486351
29.87241923,12.99453961,0.00387832226,-0.001394925492
33.0248111,12.99110486,0.003889233997,-0.001398895296
36.50987018,12.99304076,0.003899948741,-0.001402755133
40.36270236,12.99116184,0.003912312209,-0.001408098798
44.62211816,12.98326835,0.003928043866,-0.001414021987
49.33102377,13.00460748,0.003940408295,-0.00141904456
54.53685316,12.98241166,0.003949502905,-0.001421757547
60.29204597,12.98491406,0.003960750949,-0.001425605064
66.6545757,12.97369845,0.003971599102,-0.001430143675
73.68853371,12.98883946,0.003983964678,-0.001435162354
81.46477481,12.99006626,0.003998686206,-0.001440036583
90.06163105,12.98340676,0.00400711242,-0.001443650266
99.56570071,12.98778768,0.004020766904,-0.001448951815
110.0727207,12.99158336,0.004031654503,-0.001450683469
121.6885308,12.98724659,0.004041597447,-0.001454320174
134.53014,12.97067912,0.004047414845,-0.001458561128
148.7269052,12.9742678,0.004058390833,-0.001462098849
164.4218337,12.98169042,0.004071022256,-0.001469754184
181.7730247,12.98499806,0.004082476754,-0.001473164166
200.955261,12.98849737,0.00409031554,-0.001475625872
222.1617701,12.97917104,0.004099243858,-0.001480522209
245.6061705,12.99148463,0.004112205878,-0.001484104995
271.5246236,12.96978454,0.004116479519,-0.00148628305
300.1782123,12.99154461,0.00413067753,-0.001490088678
331.8555715,12.98832349,0.004141113616,-0.00149253138
366.8757953,12.98477375,0.004153183795,-0.00149849167
405.591651,12.97825942,0.004161188433,-0.001502472142
448.3931333,12.99239998,0.004171725191,-0.001505093499
495.7113922,12.9836622,0.004181762372,-0.001508318359
548.0230764,12.99596245,0.004196530249,-0.001510436543
605.8551346,12.97764525,0.004202271207,-0.001512460046
669.7901238,12.97674496,0.004213662914,-0.001517478079
740.472077,12.97484435,0.004223350078,-0.001519389112
818.6129914,12.98750952,0.004234287902,-0.001524063127
905,12.99012777,0.0042302963,-0.0015267127
905.5,12.21707891,0.0039638331,-0.0014341583
906,10.88671953,0.0036110424,-0.0013103698
906.5,9.565190322,0.0032541629,-0.0011855874
907,8.284756246,0.0028969243,-0.0010598018
907.5,6.976049732,0.0025361188,-0.0009318648
908,5.669228456,0.0021730266,-0.0008025406
908.5,4.374642011,0.0018138818,-0.0006746655
909,3.046122094,0.0014429057,-0.0005411959
909.5,1.76881932,0.0010871897,-0.0004147628
910,0.4570819557,0.0007369824,-0.0002887027
910.5,-0.05424978743,0.000634981,-0.0002492838
911,-0.01378041769,0.0006118366,-0.0002384865
924.5785062,0.006331145905,0.0004163690289,-0.0001561985656
938.3594008,-0.01081026472,0.0003469783935,-0.0001279671206
952.3457004,-0.00006467159501,0.0003124725718,-0.0001125305879
966.5404666,-0.01137104447,0.0002832720477,-0.0001010364915
980.9468066,-0.001873285044,0.0002617268362,-0.00009274884358
995.5678738,-0.01930797347,0.0002397203667,-0.00008516494958
1010.406869,-0.006034364866,0.0002260406883,-0.00008222249453
1025.46704,-0.007227383764,0.0002151583461,-0.00007647844161
1040.751684,-0.002193848943,0.0002053562273,-0.00007182706487
1056.264146,-0.01078312176,0.0001940935956,-0.00006754094895
1072.007823,0.009622335186,0.0001918847276,-0.00006542896755
1087.98616,-0.009599667058,0.0001777580421,-0.00006019512381
1104.202654,-0.009949755229,0.0001707214902,-0.00005773456516
1120.660857,-0.005528999833,0.0001635210321,-0.00005632835051
1137.36437,-0.01462896979,0.0001541234964,-0.00005438533535
1154.31685,-0.003029787881,0.0001524444811,-0.00005409185275
1171.522008,0.00313827405,0.0001471081403,-0.00005334403731
1188.983609,0.004283949965,0.0001433815885,-0.00005259732294
1206.705476,-0.01175234423,0.0001328875941,-0.00004909245441
1224.691489,-0.008453771729,0.000128598031,-0.00004775164866
1242.945585,-0.009048085267,0.0001206824116,-0.00004581406921
1261.471759,-0.01147010378,0.0001204240174,-0.00004686142004
1280.274066,-0.005022221818,0.0001179862332,-0.00004686875159
1299.356623,-0.008105622544,0.0001132413353,-0.00004562381752
1318.723606,0.00143524489,0.0001099138152,-0.00004507475064
1338.379256,-0.0127624632,0.0001016727418,-0.0000417313124
1358.327874,-0.004495095113,0.0001017341631,-0.00004300362097
1378.573827,-0.008863281645,0.000096269258,-0.00004198696214
1399.121548,-0.008534766965,0.00009603467231,-0.00004206228747
1419.975533,-0.01368220741,0.00009166210693,-0.00003949813893
1441.140348,0.001848877092,0.00008927196207,-0.00003946291439
1462.620626,-0.001714636961,0.00008734619037,-0.00004108569553
1484.421069,-0.006025034558,0.00008529410161,-0.00003951154158
1506.546448,-0.002644481361,0.00008195370646,-0.00004133793366
1529.001607,-0.008130242484,0.00007725601719,-0.00003998638437
1551.791462,-0.005396324101,0.00007743193555,-0.00003722843954
1574.921001,0.0003141718251,0.00007602385203,-0.00003627522369
1598.395287,-0.005507928015,0.00007319361139,-0.00003448914288
1622.219459,-0.007597837553,0.00006975661816,-0.0000345576476
1646.398731,-0.007782540588,0.00006736790079,-0.00003481626362
1670.938397,-0.008310426245,0.00006339869374,-0.00003422810903
1695.843827,-0.002598101806,0.00006565752315,-0.00003575443061
1721.120475,-0.006458121442,0.0000606603474,-0.00003306831279
1746.773872,-0.007826459253,0.00006079233952,-0.00003126948389
1772.809635,-0.008669928067,0.00005927795935,-0.00003074081183
1799.233462,-0.006282737495,0.00006086823982,-0.0000315855534
1826.051138,-0.01615962023,0.00005750435066,-0.00002806966129
1853.268533,0.001223407439,0.00005809732625,-0.00003008096878
1880.891605,-0.006997661964,0.00005613451338,-0.00002912332471
1908.9264,-0.007451947475,0.00005474435312,-0.00002720631537
1937.379055,0.0007453950601,0.00005544601134,-0.00002730226325
1966.255799,-0.01691400404,0.00005029886843,-0.00002516345106
1995.562952,-0.009225336665,0.00005297977376,-0.00002516708317
2025.30693,-0.01693599011,0.00004841446435,-0.00002421228188
2055.494244,-0.005901337523,0.0000474991856,-0.00002518889693
2086.131501,-0.002304760655,0.00004826380303,-0.0000245685071
2117.225408,0.0004446398393,0.00004550390966,-0.00002453945051
2148.782772,-0.006108035457,0.00004567424039,-0.00002338580254
2180.8105,0.00979476502,0.00004732064748,-0.00002381719118
2213.315603,-0.01019059495,0.00004387782865,-0.00002178801134
2246.305196,-0.01685933421,0.00004065004442,-0.00002151700593
2279.786501,-0.01619450236,0.00003960046985,-0.00002062186368
2313.766847,-0.006867783839,0.00004296811561,-0.00002003761921
2348.253672,-0.009788069647,0.00004137011438,-0.00001709308653
2383.254525,-0.004092262538,0.00004055992073,-0.00001641880486
2418.777068,-0.008879560294,0.00003646309713,-0.00001694949242
2454.829076,-0.003358461991,0.00003650306411,-0.000019728003
2491.418441,-0.007578810887,0.00003251646629,-0.00001842094683
2528.553173,-0.01008621233,0.00003239332673,-0.00001742053235
2566.2414,-0.01466704197,0.0000324669342,-0.00001808915842
2604.491373,-0.006035656438,0.0000305135757,-0.00001575919847
2643.311463,-0.01247877587,0.00002931953659,-0.00001611410716
2682.710169,-0.01843877782,0.0000274540329,-0.00001614993525
2722.696115,-0.003266428319,0.00003045914936,-0.00001528801321
2763.278053,-0.01044853401,0.00002719809769,-0.00001435680125
2804.464868,-0.001237271482,0.00002982857835,-0.00001507428625
2846.265574,-0.001181196048,0.00002554736196,-0.00001491632678
2888.689323,-0.00096470016,0.00002475730174,-0.00001368962734
2931.745399,0.004534937497,0.00002702274782,-0.00001615428043
2975.443229,-0.00336288882,0.00002390908418,-0.00001357255632
3019.792378,0.01320941104,0.00002644035903,-0.00001417882971
3064.802553,-0.001289234153,0.00002156629569,-0.00001511642557
3110.483607,-0.01085228804,0.00001880917648,-0.00001320336818
3156.84554,-0.001212901945,0.00002030356454,-0.00001255117059
3203.8985,0.007864104057,0.00002214601136,-0.00001361301295
3251.652788,-0.009226990166,0.00001683461662,-0.0000132666728
3300.118855,-0.00950047594,0.00001713915444,-0.00001515053526
3349.307312,-0.009609218186,0.00001641001551,-0.00001245239155
3399.228926,-0.009532508536,0.00001783441562,-0.00001226228796
3449.894624,-0.01103772305,0.00001410902434,-0.00001177520937
3501.315497,-0.003255058472,0.00001555458129,-0.00001284562905
3553.502802,-0.007450884484,0.00001521362098,-0.00001331374679
3606.467961,-0.004034361344,0.00001421945019,-0.00001432885995
3660.222568,-0.005739516073,0.00001303309343,-0.00001327690277
3714.778391,-0.01573705666,0.000009557117003,-0.00001296753998
3770.147372,-0.02149486953,0.00000836547763,-0.0000117583379
3826.34163,-0.006695174354,0.00001104630328,-0.00001242693139
3883.373467,-0.003226532024,0.00001250577553,-0.00001169740125
3941.255367,-0.00001604652437,0.00001091206484,-0.0000099436376
4000,-0.01227172084,0.0000072918,-0.0000110033
