Temps,Contrainte,Epsilon 1,Epsilon 2
0.5,0.1761339018,0.0001078749,-0.000039035
1,1.680586291,0.0005122568,-0.000181097
1.5,3.289452943,0.0009275287,-0.0003286761
2,4.896488583,0.0013523494,-0.0004786441
2.5,6.495222361,0.0017854181,-0.000632787
3,8.097041306,0.0022224274,-0.0007875128
3.5,9.701449768,0.0026664995,-0.0009445198
4,11.30137559,0.0031171448,-0.0011039118
4.5,12.89875544,0.0035711672,-0.0012646795
5,14.50727597,0.004035693,-0.0014275801
5.5,15.91166476,0.0043863401,-0.0015512215
6,16.01342465,0.0044225783,-0.0015676147
6.633171055,16.00383845,0.004462426083,-0.001583403126
7.333159708,16.00110206,0.004492373174,-0.001595558164
8.107017119,15.99344114,0.004520462612,-0.001607310381
8.96253855,16.0019923,0.004548900729,-0.001616560573
9.908341882,15.99799324,0.004571223716,-0.001627732404
10.95395443,15.99656478,0.004593077541,-0.001637315598
12.10990891,16.00116067,0.004615520191,-0.001646158699
13.38784954,15.99509469,0.004636210911,-0.001654822738
14.80064935,15.99285627,0.004655331017,-0.001661928792
16.36253981,16.00036651,0.00467450117,-0.001669324268
18.08925424,15.99542587,0.004691687395,-0.001676464686
19.99818627,15.99318018,0.00470975148,-0.001684048615
22.10856506,16.00065261,0.004729680964,-0.001691554184
24.44164897,15.99579954,0.004746624971,-0.001697706162
27.02093975,15.99757374,0.004762910519,-0.001705122583
29.87241923,15.99443506,0.004779292758,-0.001712640861
33.0248111,15.99065042,0.004793618723,-0.001719123788
36.50987018,16.00241099,0.004815903575,-0.001726092757
40.36270236,15.99254411,0.004826928671,-0.001731252966
44.62211816,15.99121063,0.00484227546,-0.001737098664
49.33102377,15.99271377,0.004859058824,-0.001742864826
54.53685316,16.00048636,0.004878141895,-0.001749284554
60.29204597,15.99736143,0.004891771616,-0.001755138083
66.6545757,16.00272504,0.004908956973,-0.001760144835
73.68853371,16.00089559,0.004923565537,-0.001765473956
81.46477481,15.99811839,0.004938103318,-0.001769529114
90.06163105,15.99104004,0.004949939713,-0.001775541062
99.56570071,15.9988779,0.004966172324,-0.001781133727
110.0727207,15.99749701,0.00498150518,-0.001786945157
121.6885308,15.99676935,0.004994937646,-0.001792225587
134.53014,16.00381956,0.005011061455,-0.00179703242
148.7269052,15.99502529,0.005023579904,-0.001802426958
164.4218337,15.99716113,0.00503768476,-0.00180665316
181.7730247,15.99474983,0.005050349924,-0.00181309265
200.955261,15.98888343,0.005062509595,-0.001816543974
222.1617701,15.99394937,0.005078951416,-0.001822477937
245.6061705,15.99022622,0.005094183564,-0.001829522866
271.5246236,15.98875965,0.005104984244,-0.001832813241
300.1782123,15.99856856,0.005122520112,-0.001839405737
331.8555715,15.99538704,0.005137680651,-0.001842370683
366.8757953,15.99757403,0.005151257435,-0.001849779374
405.591651,15.9928076,0.005164470962,-0.001853074425
448.3931333,16.00216102,0.00518013451,-0.001858701028
495.7113922,15.99011649,0.005194760104,-0.001861678942
548.0230764,16.00013942,0.00520993115,-0.001867931626
